This is Makespan per vm [50.67333333333334, 43.11999999999999, 33.89666666666666, 40.339999999999996, 33.00866666666666]
This is Total Execution Time 201.03866666666664
This is Maximum Makespan 50.67333333333334
This is Utilization per VM [1.0, 0.8509406657018811, 0.6689251414287591, 0.7960794632285224, 0.6514011314300748]
This is Average Utilization 0.7934692803578475
This is Degree of Imbalance 2.006081748784645


                                                  SIMULATION RESULTS

| Vm |Cloudlet| Status|DC|Host|Host PEs |VM|   VM PEs|CloudletLen|FinishedLen|CloudletPEs|StartTime|FinishTime|ExecTime
|----|--------|-------|--|----|---------|--|---------|-----------|-----------|-----------|---------|----------|--------
|  ID|      ID|       |ID|  ID|CPU cores|ID|CPU cores|         MI|         MI|  CPU cores|  Seconds|   Seconds| Seconds
|Vm 0|       0|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 0|       1|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 0|       2|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 0|       3|SUCCESS| 1|   0|        5| 0|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 0|      20|SUCCESS| 1|   0|        5| 0|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 0|      26|SUCCESS| 1|   0|        5| 0|        1|       3000|       3000|          1|     37.0|      47.1|    10.1
|Vm 0|      27|SUCCESS| 1|   0|        5| 0|        1|       3000|       3000|          1|     47.2|      57.3|    10.1
|Vm 1|       4|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 1|       5|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 1|       6|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 1|       7|SUCCESS| 1|   0|        5| 1|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 1|      22|SUCCESS| 1|   0|        5| 1|        1|       5000|       5000|          1|     20.1|      36.1|    16.0
|Vm 1|      25|SUCCESS| 1|   0|        5| 1|        1|       4000|       4000|          1|     36.2|      49.7|    13.4
|Vm 2|       8|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      0.1|       3.4|     3.3
|Vm 2|       9|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      3.5|       7.0|     3.4
|Vm 2|      10|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|      7.1|      10.6|     3.5
|Vm 2|      11|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|     10.7|      14.1|     3.4
|Vm 2|      21|SUCCESS| 1|   0|        5| 2|        1|       6000|       6000|          1|     20.1|      36.9|    16.8
|Vm 2|      29|SUCCESS| 1|   0|        5| 2|        1|       1000|       1000|          1|     37.0|      40.4|     3.4
|Vm 3|      12|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      0.1|       4.1|     4.0
|Vm 3|      13|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      4.2|       8.2|     4.0
|Vm 3|      14|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|      8.3|      12.4|     4.1
|Vm 3|      15|SUCCESS| 1|   0|        5| 3|        1|       1000|       1000|          1|     12.6|      16.7|     4.1
|Vm 3|      24|SUCCESS| 1|   0|        5| 3|        1|       4000|       4000|          1|     20.1|      36.1|    16.0
|Vm 3|      28|SUCCESS| 1|   0|        5| 3|        1|       2000|       2000|          1|     36.2|      44.3|     8.1
|Vm 4|      16|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      0.1|       4.1|     4.0
|Vm 4|      17|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      4.2|       8.2|     4.0
|Vm 4|      18|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|      8.3|      12.4|     4.1
|Vm 4|      19|SUCCESS| 1|   0|        5| 4|        1|       1000|       1000|          1|     12.6|      16.7|     4.1
|Vm 4|      23|SUCCESS| 1|   0|        5| 4|        1|       5000|       5000|          1|     20.1|      36.9|    16.8

